timestamp,question
2025-08-18T22:40:45.987617,tell me the name of Sanuwar's first car
2025-08-18T22:55:04.696088,tell me the name of Sanuwar's first car
2025-08-18T22:55:53.392719,tell me the name of Sanuwar's first car
2025-08-18T22:57:31.688573,what Sanuwar were doing in the year of 2020
2025-08-18T22:57:54.381357,was he doing any job in 2020?
2025-08-18T22:58:18.575068,what information do you have about his project or activites in 2020
2025-08-18T23:00:53.337942,tell me the name of Sanuwar's first car
2025-08-18T23:08:10.075401,tell me the name of Sanuwar's first car
2025-08-18T23:09:35.123764,does Sanuwar has any experience being Educator?
2025-08-19T00:52:02.871778,tell me the name of Sanuwar's first car
